date,20_day_sma,close,ewma_12,ewma_26,high,low,obv_10,open,rsi_14,volume
2015-02-24,210.13200000000006,204.11,208.8944690823663,208.504030997379,207.29,201.7,-2041107.9,207.29,40.93,6603560.0
2015-02-25,210.0210000000001,203.76,208.10291354325926,208.13099025838403,207.14,202.58,-416912.2,204.94,40.39,3909520.0
2015-02-26,210.4120000000001,207.19,207.96221906975575,208.05733255900168,211.09,202.22,759840.1,204.0,43.46,6472855.0
2015-02-27,210.3190000000001,203.34,207.25005380234933,207.6896202874237,208.55,202.8,-651466.7,206.9,42.42,3882084.0
2015-03-02,210.00525000000007,197.325,205.72120670461302,206.8848251659463,203.34,195.825,-606198.5,202.7,50.8,7922065.0
2015-03-03,209.43625000000011,199.56,204.77232266247225,206.3180905970427,200.2435,195.32,-455362.1,196.81,50.08,4432329.0
2015-03-04,208.64000000000016,202.435,204.41241166125496,206.0186365710825,202.52,197.21,-1458478.4,199.25,49.22,4221962.0
2015-03-05,207.74400000000014,200.63,203.8300600891086,205.60433954568015,206.19,200.15,-2727931.1,202.85,43.83,4877015.0
2015-03-06,206.38850000000016,193.88,202.29829768873682,204.7054570607156,200.75,192.151,-2551626.0,199.21,46.41,6712438.0
2015-03-09,205.06450000000018,190.88,200.5406811963524,203.6482283978767,194.49,188.25,-2449239.1,194.39,44.22,6736724.0
2015-03-10,203.70650000000018,190.32,198.96754520953408,202.63145847404783,193.5,187.6,-1560800.0,188.46,50.22,5579691.0
2015-03-11,202.57900000000018,193.74,198.16299439287994,201.95465389180933,196.18,191.01,-2623014.9,191.15,45.42,4974871.0
2015-03-12,201.49250000000015,191.07,197.07140504557117,201.12782065031146,194.45,189.75,-2778236.3,193.75,46.7,4149294.0
2015-03-13,200.78250000000017,188.68,195.78005985518752,200.1840271986361,191.75,187.32,-1423151.5,188.95,52.16,5434298.0
2015-03-16,200.37900000000016,195.7,195.7677400498954,199.84464090299633,195.91,189.8,-2355789.6,192.0,56.29,5628783.0
2015-03-17,199.89800000000017,194.73,195.60805587950983,199.45814852846684,198.71,193.94,-2295892.2,195.43,57.34,4894052.0
2015-03-18,199.71050000000014,200.71,196.39310287334104,199.55260488364314,200.88,193.11,-2655715.1,194.96,56.16,4820936.0
2015-03-19,198.90775000000014,195.65,196.27876302338504,199.25854595224652,204.59,194.53,-1557524.6,202.0,63.41,8475244.0
2015-03-20,197.95625000000013,198.08,196.55590989893832,199.16985633144782,198.99,195.621,-620689.6,197.45,62.27,4269467.0
2015-03-23,197.57100000000008,199.63,197.028895205878,199.20444292925782,200.5,197.47,302265.5,198.5,59.8,2631626.0
2015-03-24,197.4515000000001,201.72,197.75066608999308,199.39331821664766,203.79,199.75,-768260.5,201.58,55.52,3649860.0
2015-03-25,196.97850000000008,194.3,197.21975551215672,199.01128258282054,198.59,192.7,-766126.7,198.27,65.04,5730389.0
2015-03-26,196.13925000000006,190.405,196.1712666303328,198.3663510766146,194.79,189.7,-1083191.6,193.92,69.3,4127956.0
2015-03-27,195.2222500000001,185.0,194.45252012614856,197.36557681609997,189.2899,181.4,-637118.3,189.07,79.53,8604947.0
2015-03-30,194.8845000000001,190.57,193.85518284155427,196.85717990183454,192.25,181.8,-650370.0,185.85,72.38,10089516.0
2015-03-31,194.34500000000008,188.77,193.07281765553293,196.25260108291815,193.76,188.41,-1511925.7,193.53,79.33,5026569.0
2015-04-01,193.6027500000001,187.59,192.22928045759627,195.60544750960267,192.3,186.05,-163364.5,188.7,86.17,3794621.0
2015-04-02,193.1212500000001,191.0,192.0401553049324,195.26160762349545,193.23,190.0,655269.9,190.23,83.29,5010368.0
2015-04-06,193.5822500000001,203.1,193.74170856377134,195.84647486017005,207.75,197.5,826893.7,198.0,75.94,12455811.0
2015-04-07,194.20075000000008,203.25,195.2045507760692,196.39859511800475,205.06,201.14,1092219.4,202.51,83.29,4347864.0
2015-04-08,195.0682500000001,207.67,197.1223434169124,197.23874262539178,210.9,205.87,2045280.8,208.2,79.12,6303117.0
2015-04-09,195.8857500000001,210.09,199.1173949893201,198.19620496033642,210.37,206.12,2864844.0,208.43,78.88,3800225.0
2015-04-10,196.87725000000006,210.9,200.93012458192567,199.142274680568,211.65,209.0,3349515.7,209.85,67.1,4067676.0
2015-04-13,197.9322500000001,209.78,202.2916573056546,199.93416658544098,213.0,209.05,2037967.8,210.435,68.81,3758230.0
2015-04-14,198.5202500000001,207.46,203.0867935867627,200.49419755047265,209.49,205.5,2735862.5,208.57,75.41,3025963.0
2015-04-15,199.17525000000006,207.83,203.81652280338778,201.0399017006052,209.59,206.6,2949418.7,207.46,76.48,1952378.0
2015-04-16,199.47475000000009,206.7,204.26013733047225,201.4608190106303,209.17,206.29,2695374.5,207.7,74.3,1659059.0
2015-04-17,200.03175000000007,206.79,204.64934893976582,201.85701186542732,206.88,203.5,1193868.3,204.99,77.23,2469926.0
2015-04-20,200.39125000000007,205.27,204.74483412675826,202.1106787164381,207.85,203.85,1102336.0,206.78,79.14,2559251.0
2015-04-21,200.88025000000007,209.41,205.4625545515073,202.6530577603264,210.75,204.31,1258328.0,205.8,78.64,3432541.0
2015-04-22,201.76625000000007,219.44,207.61293736100976,203.90012985772893,221.88,211.69,437187.1,212.5,76.5,7863037.0
2015-04-23,202.98125000000005,218.6,209.3032590710322,204.99192327347353,221.48,217.1501,-212364.8,218.27,75.37,4411184.0
2015-04-24,204.38225000000006,218.425,210.70660690694285,205.98943125806437,220.8,218.01,1330720.9,220.5,76.1,2427843.0
2015-04-27,206.70975000000004,231.55,213.91328871790913,207.88714937234204,238.75,222.0,1024779.3,222.56,71.18,11672627.0
2015-04-28,208.70525000000004,230.48,216.46201753247556,209.56424737705464,235.5,228.03,1223149.2,234.75,72.93,6085379.0
2015-04-29,210.88925,232.45,218.92171041082477,211.26282073501253,234.97,227.63,997869.4,230.05,68.61,3936077.0
2015-04-30,212.81225,226.05,220.0183715804923,212.36016074176771,232.89,225.17,222707.9,230.39,75.52,3911857.0
2015-05-01,214.56374999999997,226.03,220.94323837096522,213.3744474668817,231.77,220.405,922092.6,229.94,76.39,5281689.0
2015-05-04,215.93424999999996,230.51,222.41504903702113,214.64572756606313,234.73,227.11,1158525.8,228.18,74.78,4434596.0
2015-05-05,217.41924999999998,232.95,224.0358118274901,216.0035576591877,239.5,229.13,-154871.2,237.76,72.26,5796873.0
2015-05-06,218.55724999999998,230.43,225.0195336517104,217.07361178925663,234.47,228.2,1231838.1,234.1,78.26,5270933.0
2015-05-07,219.89274999999998,236.8,226.83191397368296,218.53663450493994,237.48,220.25,1007798.8,221.0,76.42,9455909.0
2015-05-08,221.17825,236.61,228.33623552150894,219.87693662623218,238.4099,233.7,407762.3,235.99,75.17,4668236.0
2015-05-11,222.66375,239.49,230.05219988653005,221.33129768676386,242.88,235.31,1652643.1,236.29,68.68,5672262.0
2015-05-12,224.52774999999997,244.74,232.311862109998,223.06697909619814,246.35,238.19,715018.9,240.11,58.02,6363429.0
2015-05-13,226.29524999999998,243.18,233.98388374180107,224.5581876129572,248.3,242.25,1395798.2,247.61,63.46,5440165.0
2015-05-14,228.16525000000001,244.1,235.54020964916984,226.0069482921394,244.89,241.25,2376723.4,244.82,53.83,2895936.0
2015-05-15,230.26775000000004,248.84,237.5863316078062,227.69960419641575,249.4,242.5,1597942.6,243.93,50.68,4527563.0
2015-05-18,232.44175,248.75,239.30381931285345,229.2600184335636,249.9,246.0,650832.2,247.0,62.88,3353212.0
2015-05-19,234.32825000000003,247.14,240.50938572689643,230.58534676413856,251.0,246.15,802368.6,248.43,65.84,3674231.0
2015-05-20,235.57375000000008,244.35,241.10024952528542,231.60558169344563,247.74,241.3721,53842.0,247.13,60.42,3755569.0
2015-05-21,236.92475000000005,245.62,241.7955958159596,232.64428157351443,246.62,242.3574,742974.5,243.03,59.68,1970643.0
2015-05-22,238.39000000000001,247.73,242.70858114591863,233.76233503364935,248.6,245.01,-174119.9,245.38,55.19,2223089.0
2015-05-26,239.18525,247.455,243.43879947912825,234.77710472637168,252.0,246.5,-1151282.8,247.68,55.12,3498682.0
2015-05-27,240.03275000000002,247.43,244.05283036262216,235.71478249154592,249.5,245.55,-242538.0,248.51,59.1,3408200.0
2015-05-28,240.98275000000004,251.45,245.1908565142026,236.88084497914278,251.8,245.05,-911059.9,247.03,62.97,3647283.0
2015-05-29,242.22025000000002,250.8,246.0538017002049,237.91229549854552,252.8677,249.43,-1614321.9,251.0,65.68,3789283.0
